Term,Synonyms,Definition
appressed,,"pressed together without being united (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
assimilatory,,"filaments or cells which contain photosynthetic plastids. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
asymmetric,,"being uneven or lacking symmetry. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
attenuate,,"slender, thin, tapering. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
axial,,"pertaining to the axis or central core of a branch. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
axil,,"the angle between the axis and a lateral branch or organ. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
axis,,see fig. 23 below. (source: Hiscock Brown).
biogeography,,"the study of the geographical distribution of organisms. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
biseriate,,"arranged in two rows or series. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
bladder,,"a vesicle or small sac-like float that aids in buoyancy (see air bladder, vesicle). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
blade,,"flat (leaf-like) part of thallus. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
branch,,"a main lateral appendage of the axis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
branching,,can be of several main types; those mentioned in the key are illustrated below: (source: Hiscock Brown).
branchlet,,"a small secondary branch that is usually the final part of a branch system. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
bushy,,"a dense, much branched, thallus or part thereof. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
calcified,,"encrusted or impregnated with lime. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
cartilaginous,,"with a tough texture rather like cartilage. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
cell wall,,"non-living rigid structure surrounding the plasma membrane of cells. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
central cell,,"a cell of an axial filament in polysiphonous red algae (see axial cell). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
clade,,"a group of organisms descended from a common ancestor; also a branch of a cladogram. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
complanate,,"flattened or branching in one plane (compressed and dilated). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
compressed,,"slightly flattened laterally; elliptical in cross section. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
constricted,,"narrow regions lying between swollen or larger regions. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
convex,,"rounded outward; like the outside of a sphere. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
corrugate,,"having small wrinkles or folds. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cortex,,"collective term for filaments derived from subepithallial initials, occurring externally to the medulla (fig.2c) and running more or less at right angles to the thallus surface; in monomerous plants (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
corticate,corticated | cortical,"with an outer covering of cells, rhizoids, or filaments. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
crust,,"a thin, closely adherent outwardly radiating thallus, pseudoparenchymatous in structure with laterally adjoined basal and erect filaments. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
crust ,crustose,"a thallus with a 2-dimensional prostrate layer growing on a substratum. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
crustose,,"resembling a crust; said of thalli. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
cyst,,"an asexual resting stage or a thick-walled cell with dense protoplasm that germinates to form a new individual; also a sac, bladder-like cell, or cavity. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
deciduous,,"loss of branches, usually seasonally. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
denuded,,"left bare following loss of lateral branches. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
determinate,,"axes with limited growth potential (e.g., branchlets). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
dichotomous,,repeatedly divided into 2. (source: Hiscock Brown).
dichotomous ,dichotomy,"with 2 equal branches at each fork. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
diffuse ,growth,"growth in almost any part of the thallus, not localised. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
dioecious,,"male and female gametangia on separate thalli. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
direct ,life history,"reproduction of the same phase of the (potential) life history by means of asexual spores, or propagules. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
disc,,"a thin, closely adherent, often circular thallus, comprising outwardly radiating, laterally adjoined, usually synchronously extending filaments, monostromatic, or at least partly distromatic, in structure. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
discoid,,"shaped like a solid disc that is flat and roughly circular. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
discrete,,"individually distinct; cf. confluent (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
distal,,"directed away from the base of a thallus. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
distromatic,,"composed of two layers of similar cells. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
divaricate,,"widely spreading (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
division,,"the highest taxonomic rank for taxa in the plant kingdom (see phylum). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
drift,,"unattached macrophytes in the water or loose lying. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ecorticate,,"lacking a cortex or covering cells; the opposite of corticated. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
egg,,"a nonmotile female gamete that is normally larger than a sperm. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
elliptic,,"shaped like an ellipse; oval with regularly rounded ends (in 2 dimensions). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
elliptical,,"regularly oval (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
embedded,,"to be fixed into a surrounding mass or surrounded tightly or firmly (i.e., enveloped or enclosed). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
endophyte,,"an organism living within the tissues of a host plant. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
endophyte ,endophytic,"growing within the tissues or sheath of an alga. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
endophytic,,"growing within a plant; cf. semi-endophytic; epiphytic (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
entire,,"without lobes, divisions, or proliferations; having undivided margins. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
entwined,,"entangled or intermixed. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
epilithic,,"growing attached to an inorganic substratum (rock, stones etc.) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
epiphyte ,epiphytic,"growing on another alga, but not parasitic. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
epiphytic,,"growing on the surface of a plant; cf. endophytic (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
epithet,,"a word added to a genus name to create a species name (binomial); the process can be repeated to create a varietal name, etc., e.g. erythropeltis discigera (species), erythropeltis discigera var. flustrae (variety). (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
erect,,"growing upwards away from substratum. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
eulittoral,,"the main intertidal zone between the sublittoral (usually dominated by large brown algae) and the littoral fringe (usually dominated by littorinid snails). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
false hairs,,"hair-like, tapering, extensions of filaments (e.g. in the ectocarpaceae) with almost colourless cells and without a basal meristem (c.f phaeophycean hairs). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
family,,"the principal category between order and genus. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
fasciculate,,"forming a dense cluster or bundle; said of filaments or branches. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
fertile,,"bearing reproductive structures. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
filament,,"a row of cells joined by primary pit connections (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
filament ,filamentous,"a branched or unbranched row of cells joined end to end; constructed of filaments. filiform. thread-like, slender, cylindrical, or resembling a filament. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
filamentous,,"slender or thread-like, uniseriate to multiseriate. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
filiform,,"thread-like, but thicker than above. (up to 5 mm wide in this key.) (source: Hiscock Brown)."
flaccid,,"limp. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
float,,"an air-filled vesicle that serves for flotation as found in sargassum (see air bladder). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
form ,forma,"a taxonomic category usually differentiated by a very minor character; the lowest taxonomic category. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
frond,,"that part of the thallus other than the attachment. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
gametophyte,,"phase of life history, either haploid or diploid, which bears gametangia. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
gelatinous,,"slimy and jelly-like (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
generation,,"one of the two phases (gametophyte or sporophyte) in the life history of a plant. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
genus,,"a taxonomic group of one or more related species, separable from other such groups. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
genus ,genera,"the principal category of taxa intermediate in rank between family and species. germination disc. in red algae, a group of cells that form within the original spore wall. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
habit,,"the morphological form of a thallus. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
habitat,,"the environment in which an organism lives. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
hair,,"a long, single-celled or multicellular colorless end of a filament. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
heteromorphic,,"of a life history, consisting of reproductive phases each within a different morphology. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
holdfast,,"structure attaching thallus to the substratum. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
host,,"an organism on which another organism grows. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
incised,,"cut sharply from the margin. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
indeterminate,,"a branch having unlimited growth potential. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
inflated,,"distended with air or gases. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
intercalary,,"within a filament (not terminal) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
internode,,"the part of an axis intermediate between 2 nodes or joints. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
intertidal,,"growing between extreme high and low water levels; a physical term (see littoral). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
its ,internal transcribed spacers,"non-coding regions associated with the nuclear-encoded ribosomal rna genes. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
kelp,,"a common name for large brown algae (laminariales), which have a holdfast, stipe, and blade. laciniate. cut deeply into lobes or segments; also having a tattered or fringed appearance. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
lamina,,flat expanded part of thallus. (source: Hiscock Brown).
lanceolate,,long and pointed. lance-shaped. (source: Hiscock Brown).
lanceolate ,lance-shaped,"lance or spear-shaped; much longer than broad and tapering from base to apex. lateral. a branch or frond on the side of an axis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
lateral,,"borne from the side of an axis (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
lax,,"loose and soft; not rigid. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
life cycle ,history,"the morphological and nuclear phases of an organism. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
life history,,"the sum of an organism's morphological, cytological and reproductive phases. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
linear,,"narrow, with parallel sides and several times longer than broad. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
littoral,,"applied to that portion of the shore which is alternately exposed to the air and wetted either by the tide or by splash or spray. see section 6.1, introduction. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
lobe,,"a forward projecting extension of an intergeniculum; in corallinoideae (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
macroalgae,,"larger algae readily observed without a microscope. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
macroscopic,,"structures seen clearly with the unaided eye. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
margin,,"peripheral area of a dorsiventral, nongeniculate thallus, often composed of basal and epithallial cells only and not usually bearing conceptacles (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
matt,,"thallus surface smooth and dull, not shiny; cf. glossy, grainy (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
medulla,,"collective term for filaments derived from terminal initials, occurring internally to the cortex and running more or less parallel to the thallus surface (fig.2c); in a monomerous thallus (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
medulla ,medullae,"the often colorless central core of tissue in multicellular algae that is filamentous, pseudoparenchymatous, or parenchymatous. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
membranous,,"delicate thin sheet of cells resembling a membrane. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
membranous ,membranaceous,"a sheet or a thin layer that is often semitransparent. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
microscopic,,"not visible to the unaided eye. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
midrib,,"a thickened, central, longitudinal rib (costa, vein) of a blade. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
monoecious,,"with male and female gametangia on the same thallus. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
monopodial,,"growth by means of a continuous apical growing point. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
monopodial ,monopodial branching,"a type of growth in which secondary axes arise behind and are subsidiary to a main axis that grows indefinitely. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
monostromatic,,"composed of a single layer of cells. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
mucilaginous,,"containing or composed of mucilage. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
multicellular,,"composed of more than one cell. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
multifid,,"having many divisions. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
multiseriate,,"a filament with cells divided periclinally to form two or more rows. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
mutic,,"without a terminal point. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
node,,"joint in a segmented axis; end-walls between contiguous cells of a filament (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
ob ,,"inverted, e.g. obconical. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
obovate,,"broadest part above the middle. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
oogamy ,oogamous,"sexual reproduction in which a small, usually motile sperm fuses with a larger non-motile egg. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
oogonium,oogonia,"the female reproductive organ(s), each containing one or more eggs. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
order,,"a taxonomic group between class and family, with the name ending in -ales. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
order ,,"a category of taxa between class and family. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ovate,,"egg-shaped with broader end at base. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
ovoid,,"egg-shaped, broadest near the base (a three-dimensional term). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
ovoid ,obovate,"in outline, the broadest part is above the middle. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
papillae,,"small swollen cells sometimes lining the pore canal (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
paraphyses,,"sterile filaments, usually uniseriate, on the thallus surface or within conceptacles. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
parenchyma,,"compact tissue formed by cell division in all planes. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
parenchymatous,,"a tissue of thin-walled, more or less isodiametric cells, derived by division in different planes. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
parietal,,"lying along the wall, peripheral to the cell. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
penicillate,,"brush-like or pencil-shaped. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
perennial,,"lasting more than two years. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
phaeophyceae ,phaeophycean,"class of brown algae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
phaeophycean hair,,"a filament (without phaeoplasts) of uniseriate cells developing from a basal meristem of few to several dividing cells. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
phaeophycean hairs,,"colorless, endogenous, uniseriate filaments in some brown algae with a distinct basal meristem and a basal collar or sheath (see true hairs). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
pinnate,,"(see fig. 23) flattened in one plane, with pinnae or side branches. receptacle often swollen part of the thallus bearing reproductive structures called conceptacles (particularly in the fucaceae). 'fruiting bodies'. (source: Hiscock Brown)."
pinnatifid,,"deeply incised in a semi-pinnate manner. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
plastid,,"cell organelle enclosed by a double membrane which in red algae contain thylakoids and photosynthetic pigments. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
plurilocular,,"containing many loculi or cells, said of reproductive organs. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
plurilocular sporangium ,pluriloc,"in brown algae, a sporangium or gametangium with many small locules; these are the site of mitosis and can either produce zoospores (1n or 2n) or gametes (1n). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
