Term,Synonyms,Definition
biogenic,,"originating from living matter (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
biogeography,,"the study of the geographical distribution of organisms. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
biphasic,,"having two life history phases. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
bipinnate,,"when both primary and secondary divisions are pinnate. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
bipolar,,"having two poles each with development in one direction. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
biseriate,,"arranged in two rows or series. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
bisexual,,"with both sex organs produced within the one structure or thallus. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
bisporangium,,"a sporangium whose contents divide to form two spores; cf. tetrasporangium (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
bispore,,"one of two spores released from a bisporangium. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
bisporophyte,,"phase of life history that forms bisporangia. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
bistratose,,"having two layers; cf. unistratose (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
bistromatic,,"a blade composed of 2 layers of cells (see distromatic). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
bladder,,"a vesicle or small sac-like float that aids in buoyancy (see air bladder, vesicle). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
blade,,"flat (leaf-like) part of thallus. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
blade phase,,"the macroscopic, gametophyte stage. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
bladelet,,"a small blade, often specialized for reproduction. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
blastn,,"a molecular tool used in nucleotide basic local alignment search. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
brachyblasts,,"specialized determinate branches that arise from axial cells and are involved in vegetative propagation and dispersal (e.g., spyridia). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
brackish,,"part seawater and part freshwater (i.e., diluted seawater); also refers to stable low salinities as in the baltic sea. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
bract,,"a modified lateral branchlet usually with reproductive organs in its axil. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
bract cell,,"a spine-like cell that occurs at branchlet nodes in species of the characeae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
bracteole,,"in the characeae, a spine-like process that develops from cells of an antheridial lateral and appears to subtend the oogonium. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
branch,,"a main lateral appendage of the axis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
branching,,can be of several main types; those mentioned in the key are illustrated below: (source: Hiscock Brown).
branchlet,,"a small secondary branch that is usually the final part of a branch system. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
bristle,,"a stiff hair or needle-like spine (see setae). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
bulbous,,"shaped like a bulb or having a swollen aspect. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
bulla,bullae | bullate,"having blisters or bulging of a thallus surface. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
bullate,,"with a bulging or puckering of the surface. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
buried conceptacle,,"old conceptacle that becomes covered over by continued thallus growth, but not infilled (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
bushy,,"a dense, much branched, thallus or part thereof. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
byssal threads,,"in mussels (e.g., mytilus edulis), strong, silky proteinaceous fibers that are used for attachment to rocks or other substrata. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
byssoid,,"consisting of fine threads. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
caducous,,"not persistent (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
caecostoma,caecostomata,"in fucales, a pit lacking hairs or ostiole. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
caespitose,,"tufted or with tufts of hairs. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
